Title,Link,Maddy Rating,Hunter Rating,Date Cooked,Notes,,
Creamy Avocado Pesto Pasta,https://cooking.nytimes.com/recipes/1021230-creamy-avocado-pesto-pasta?action=click&module=Collection%20Band%20Recipe%20Card&region=Weeknight%20Vegetarian&pgType=supercollection&rank=5,3,,2/27/2021,,,
Rigatoni with Fennel and Anchovies,https://www.bonappetit.com/recipe/rigatoni-with-fennel-and-anchovies,4,,2/27/2021,,,
Mushroom and Burrata Lasagnette,https://www.bonappetit.com/recipe/mushroom-and-burrata-lasagnette,4,,2/27/2021,,,
Lemony Orzo With Asparagus and Garlic Bread Crumbs,https://cooking.nytimes.com/recipes/1021068-lemony-orzo-with-asparagus-and-garlic-bread-crumbs,5,,3/20/2021,,,
Pasta Alla Norma,https://cooking.nytimes.com/recipes/1014832-pasta-alla-norma?action=click&module=Collection%20Band%20Recipe%20Card&region=Easy%20Weeknight%20Dinners&pgType=supercollection&rank=6,3,,3/20/2021,,,
Vegetarian Skillet Chili,https://cooking.nytimes.com/recipes/1017704-vegetarian-skillet-chili?action=click&module=Collection%20Band%20Recipe%20Card&region=Weeknight%20Vegetarian&pgType=supercollection&rank=7,3,,3/20/2021,,,
Baked Tofu with Peanut Sauce and Coconut Lime Rice,https://cooking.nytimes.com/recipes/1020530-baked-tofu-with-peanut-sauce-and-coconut-lime-rice?action=click&module=Local%20Search%20Recipe%20Card&pgType=search&rank=6,3,,3/20/2021,sauce too thick,,
Chickpea Harissa Soup,https://cooking.nytimes.com/recipes/1019897-chickpea-harissa-soup?action=click&module=Local%20Search%20Recipe%20Card&pgType=search&rank=6,3,,3/20/2021,,,
Coconut-Miso Salmon Curry,https://cooking.nytimes.com/recipes/1020045-coconut-miso-salmon-curry,4,,4/21/2021,made with carrots instead of spinach...would be good w/ bok choy. get salmon without skin,,
Spring Tofu Soup,https://cooking.nytimes.com/recipes/1021030-spring-tofu-soup,5,,4/21/2021,,,
Carrot Tart With Ricotta and Feta,https://cooking.nytimes.com/recipes/1020174-carrot-tart-with-ricotta-and-feta,5,,4/21/2021,,,
"Caramelized Plantains With Beans, Scallions and Lemon",https://cooking.nytimes.com/recipes/1021805-caramelized-plantains-with-beans-scallions-and-lemon,5,,4/21/2021,"needs more beans and fewer onions, good with arugula",,
Lemony Tortellini Soup with Spinach and Dill,https://www.bonappetit.com/recipe/lemony-tortellini-soup-with-spinach-and-dill,4,,4/21/2021,,,
Coconut Apple Ginger Dal,https://www.bonappetit.com/recipe/coconut-apple-ginger-dal,5,,4/29/2021,double spices,,
Thai Basil Tofu Stir Fry,https://drivemehungry.com/15-minute-thai-basil-tofu-stir-fry-pad-krapow/,5,,4/22/2021,Moar sauce,,
Pesto Caprese Puff Pastry,https://daniliciousdishes.com/pesto-caprese-puff-pastries/,5,,4/27/2021,,,
Kale Caesar Salad,https://www.halfbakedharvest.com/kale-caesar-salad/,5,,2/27/2021,,,
Roasted Cauliflower Salad,https://www.halfbakedharvest.com/roasted-cauliflower-salad/,5,,2/27/2021,,,
Spicy Tangy Broth With Crispy Rice,https://www.bonappetit.com/recipe/spicy-and-tangy-broth-with-crispy-rice#intcid=_bon-appetit-recipe-bottom-recirc_cc1d1608-3d5f-49a0-879c-e20fa427caa2_text2vec1,4,3,4/15/2021,with white fish,,
Spicy Shrimp and Rancho Gordos,https://cooking.nytimes.com/recipes/1022161-spicy-shrimp-and-chickpea-salad,5,4,6/7/2021,,,
Alison Roman Pasta Salad,https://anewsletter.alisoneroman.com/p/pasta-salad-video,4,,6/7/2021,,,
Crispy Tofu with cashews and blistered snap peas,https://cooking.nytimes.com/recipes/1021200-crispy-tofu-with-cashews-and-blistered-snap-peas?action=click&region=Sam%20Sifton%27s%20Suggestions&rank=4,5,,7/3/2021,,,
Margarita Pizza Beans,https://www.bonappetit.com/recipe/margherita-pizza-beans?utm_source=BNA_REG_GATE,5,,10/1/2021,,,
Chicken Soup for Summer Colds,https://anewsletter.alisoneroman.com/p/chicken-soup-for-summer-colds,5,,,,,
Rice Pilaf with Lemony Brown Butter Mushrooms,https://www.bonappetit.com/recipe/rice-pilaf-with-lemony-brown-butter-mushrooms,5,,,,,
Seasme Tofu With Broccoli,https://www.bonappetit.com/recipe/sesame-tofu-with-broccoli,5,,,,,
Fried Tagiatelle with Chickkpeas and smokey tomatoes,https://cooking.nytimes.com/recipes/1021789-fried-tagliatelle-with-chickpeas-and-smoky-tomatoes?action=click&module=Collection%20Page%20Recipe%20Card&region=Our%2050%20Most%20Popular%20Recipes%20of%202021&pgType=collection&rank=34,5,,,,,
Braised white beans and green with parmesan,https://cooking.nytimes.com/recipes/1021902-braised-white-beans-and-greens-with-parmesan?action=click&module=Collection%20Page%20Recipe%20Card&region=Our%2050%20Most%20Popular%20Recipes%20of%202021&pgType=collection&rank=18,5,,,Small yield - Double it,,
Crispy Gnoochi With Burst Tomatoes and Mozzarella,https://cooking.nytimes.com/recipes/1022024-crispy-gnocchi-with-burst-tomatoes-and-mozzarella?action=click&module=Collection%20Page%20Recipe%20Card&region=Our%2050%20Most%20Popular%20Recipes%20of%202021&pgType=collection&rank=4,5,,,,,
Alison Roman's Shrimp Scampi,https://anewsletter.alisoneroman.com/p/shrimp-scampi-video,5,,,,,
Kimchi Udon,https://www.bonappetit.com/recipe/kimchi-udon-with-scallions,1,1,,,,
Tofu and Broccoli Fried Rice,https://cooking.nytimes.com/recipes/1022870-tofu-and-broccoli-fried-rice?module=Recipe+of+The+Day&pgType=homepage&action=click,4,4,,,,
Sheet pan fried rice,https://cooking.nytimes.com/recipes/1022892-sheet-pan-fried-rice-with-vegan-xo-sauce?action=click&module=Collection%20Page%20Recipe%20Card&region=Sam%20Sifton%E2%80%99s%20Suggestions&pgType=collection&rank=27,4,,2/21/2022,,,
Alison Roman's dilly bean stew,https://anewsletter.alisoneroman.com/p/dilly-bean-stew-video,4,,2/22/2022,,,
Lemony Shrimp and Bean Stew,https://cooking.nytimes.com/recipes/1020828-lemony-shrimp-and-bean-stew?algo=combo_cooking_als_top_conversion_app_7_80_random_filter_20&fellback=false&imp_id=763489515&pool=pool%2Fe3056042-8b97-4bd3-b612-8265641a1cfb&req_id=76452481&surface=cooking-carousel_rec4u&variant=2_combo_cooking_als_top_conversion_app_7_80_random_filter_20&action=click&module=SaveRecap&pgType=front-page&region=Save%20Recap%20Suggestions&rank=4,4,,,,,
Black Bean Burgers,https://www.seriouseats.com/the-best-black-bean-burger-recipe,4,,,,,
Chickpea Tomato peanut West African Stew,https://minimalistbaker.com/1-pot-chickpea-tomato-peanut-stew-west-african-inspired/#wprm-recipe-container-46430,4,,,makes a lot,,
Sabzi ,https://cooking.nytimes.com/recipes/1022751-mixed-sabzi?action=click&module=Global%20Search%20Recipe%20Card&pgType=search&rank=36,5,4,4/16/2022,"Better if a thicker sauce was used, more tomoatoes less water",,
Artichoke bread pudding,https://www.foodandwine.com/recipes/savory-artichoke-bread-pudding,5,,,,,
Vegetarian Black Bean Chowder,https://www.ranchogordo.com/blogs/recipes/vegetarian-black-bean-chowder?_pos=23&_sid=2d9e68b99&_ss=r ,5,,,,,
Succotash,https://www.acouplecooks.com/succotash/,4,,,,,
Creamy White Bean Goat Cheese Spread,https://www.ranchogordo.com/blogs/recipes/creamy-white-bean-olive-and-goat-cheese-spread?_pos=4&_sid=c5ad0a216&_ss=r,5,,,,,
Alison Roman Pasta Salad with Peas,https://www.alisoneroman.com/recipes/pasta-salad-with-peas-and-parmesan,4,,,,,
Maitake Wild Rice,https://www.mushroomcouncil.com/recipes/maitake-wild-rice-salad/,5,,,,,
Vegan White Bean Chowder,https://www.anediblemosaic.com/white-bean-chowder/?cn-reloaded=1,4,,,use whole can of coconut cream,,
Creamy Stovetop Broccoli Mac and Cheese,https://iamafoodblog.com/creamy-stovetop-jalapeno-broccoli-mac-and-cheese-recipe/,4,4,,,,
Walnut Picadillo,https://cooking.nytimes.com/recipes/1023207-walnut-picadillo?campaign_id=58&emc=edit_ck_20220529&instance_id=62601&nl=cooking&regi_id=127686826&segment_id=93686&te=1&user_id=a7f3bdeaaaa1d89a0af3816949f00fe5,5,5,,,,
